ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,M,N,N,2,143600.0,State servant,Secondary / secondary special,Married,House / apartment,-19034,-428,1,0,0,0,Managers,4
5008805,F,N,Y,0,157200.0,State servant,Incomplete higher,Single / not married,House / apartment,-9622,-1649,1,0,0,1,nan,1
5008806,F,N,Y,2,81400.0,Working,Academic degree,Separated,Rented apartment,-14664,-962,1,0,0,0,Security staff,3
5008807,F,N,N,0,114200.0,Working,Incomplete higher,Married,House / apartment,-12469,-5860,1,0,0,1,Medicine staff,2
5008808,M,N,N,0,71400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15865,365243,1,0,0,0,Drivers,2
5008809,M,Y,Y,0,167000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12053,-5760,1,0,0,0,Managers,1
5008810,M,Y,Y,2,84000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16406,365243,1,0,1,0,Cooking staff,4
5008811,F,N,N,1,28200.0,Pensioner,Secondary / secondary special,Married,Office apartment,-25177,365243,1,0,0,0,Medicine staff,3
5008812,F,N,Y,3,82900.0,Working,Higher education,Married,House / apartment,-24798,-707,1,0,0,0,Managers,5
5008813,F,N,Y,1,39200.0,Working,Secondary / secondary special,Married,House / apartment,-11038,-3748,1,0,0,1,Core staff,3
5008814,M,Y,N,0,57800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24379,-2575,1,1,0,0,Laborers,1
5008815,F,Y,N,0,73600.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-22375,-658,1,0,0,0,Drivers,1
5008816,F,Y,N,0,95200.0,Working,Academic degree,Married,House / apartment,-10984,-1532,1,0,1,0,Core staff,2
5008817,M,Y,N,1,42900.0,Pensioner,Higher education,Married,House / apartment,-10336,365243,1,0,0,0,Core staff,3
5008818,M,Y,Y,3,71500.0,State servant,Secondary / secondary special,Married,House / apartment,-14074,-548,1,1,1,0,Laborers,5
5008819,M,Y,N,0,114600.0,Working,Secondary / secondary special,Widow,House / apartment,-11845,-3886,1,0,0,1,Laborers,1
5008820,M,Y,Y,1,114100.0,State servant,Secondary / secondary special,Separated,Rented apartment,-15270,-3620,1,0,1,0,Medicine staff,2
5008821,F,N,N,3,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25278,-825,1,0,1,0,Laborers,5
5008822,F,Y,Y,0,66600.0,Pensioner,Higher education,Separated,Rented apartment,-16886,365243,1,0,0,0,Cooking staff,1
5008823,M,N,Y,2,97800.0,Working,Incomplete higher,Widow,Office apartment,-11486,-446,1,0,1,1,Core staff,3
5008824,F,Y,Y,0,177000.0,Working,Lower secondary,Married,House / apartment,-11529,-1378,1,0,0,0,Medicine staff,2
5008825,M,N,Y,1,66600.0,Working,Higher education,Single / not married,House / apartment,-18466,-1345,1,0,0,0,Security staff,2
5008826,M,N,N,0,52100.0,Working,Higher education,Married,With parents,-24183,-313,1,0,0,0,Medicine staff,2
5008827,M,Y,N,0,80200.0,Working,Higher education,Married,House / apartment,-7888,-826,1,0,1,0,Cooking staff,2
5008828,F,N,N,0,31000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-12996,365243,1,1,1,0,Sales staff,2
5008829,F,Y,N,3,62000.0,Working,Secondary / secondary special,Married,Rented apartment,-17739,-3669,1,1,1,1,nan,5
5008830,M,N,Y,2,94000.0,State servant,Higher education,Separated,House / apartment,-21171,-4909,1,0,0,0,Core staff,3
5008831,F,Y,N,0,72800.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9480,-1904,1,0,1,0,nan,2
5008832,F,N,N,4,66000.0,Working,Higher education,Married,House / apartment,-23989,-439,1,0,1,0,Managers,6
5008833,M,N,N,1,80800.0,Commercial associate,Academic degree,Married,House / apartment,-22335,-2479,1,0,0,0,Laborers,3
5008834,F,Y,Y,2,27000.0,Student,Incomplete higher,Married,House / apartment,-22880,-6474,1,0,0,1,Medicine staff,4
5008835,M,N,N,0,55800.0,Commercial associate,Lower secondary,Married,House / apartment,-10487,-213,1,0,0,0,Medicine staff,2
5008836,M,Y,N,0,115300.0,Working,Higher education,Single / not married,House / apartment,-21504,-640,1,0,0,0,Core staff,1
5008837,F,N,Y,1,142200.0,State servant,Secondary / secondary special,Married,Rented apartment,-23901,-1498,1,1,0,0,Security staff,3
5008838,F,N,N,0,112200.0,Working,Higher education,Married,House / apartment,-15508,-998,1,0,1,1,Laborers,2
5008839,F,N,N,0,139700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21295,-4211,1,0,1,1,Laborers,2
5008840,M,Y,Y,0,60700.0,Working,Higher education,Married,House / apartment,-24095,-585,1,0,0,1,Medicine staff,2
5008841,M,N,N,0,79100.0,Working,Secondary / secondary special,Single / not married,With parents,-18275,-4488,1,0,0,0,Core staff,1
5008842,F,N,N,0,51500.0,Working,Secondary / secondary special,Married,House / apartment,-8808,-2377,1,0,1,0,Laborers,2
5008843,F,Y,N,3,72300.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-8359,-514,1,0,0,1,nan,4
5008844,M,Y,Y,0,75200.0,State servant,Incomplete higher,Civil marriage,House / apartment,-15049,-41,1,0,1,0,Drivers,2
5008845,F,Y,N,0,39200.0,Working,Secondary / secondary special,Married,House / apartment,-19564,-2387,1,1,1,0,Managers,2
5008846,M,N,Y,0,77600.0,Working,Higher education,Widow,House / apartment,-12676,-1217,1,0,0,1,Managers,1
5008847,F,Y,Y,1,57600.0,Working,Secondary / secondary special,Married,House / apartment,-13245,-380,1,0,0,0,High skill tech staff,3
5008848,M,N,N,1,82400.0,Working,Lower secondary,Separated,House / apartment,-17822,-5452,1,1,0,0,Cooking staff,2
5008849,F,Y,N,1,82200.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-24361,-186,1,0,1,0,High skill tech staff,3
5008850,M,Y,N,0,85500.0,Working,Secondary / secondary special,Married,With parents,-22564,-3670,1,0,0,0,Accountants,2
5008851,F,N,Y,0,100100.0,Working,Lower secondary,Married,House / apartment,-10898,-1751,1,0,0,0,Core staff,2
5008852,F,N,Y,2,41600.0,Working,Secondary / secondary special,Married,Rented apartment,-19820,-125,1,0,0,0,Sales staff,4
5008853,M,N,N,2,79200.0,Commercial associate,Academic degree,Widow,House / apartment,-11335,-835,1,0,0,0,Drivers,3
5008854,F,N,Y,1,35500.0,Pensioner,Higher education,Married,Rented apartment,-14376,365243,1,0,0,0,Drivers,3
5008855,F,N,N,0,155300.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-18088,-632,1,0,0,0,Core staff,1
5008856,F,Y,N,0,196300.0,Commercial associate,Higher education,Civil marriage,House / apartment,-23385,-277,1,0,1,0,nan,2
5008857,F,Y,N,0,74500.0,Working,Secondary / secondary special,Married,House / apartment,-21410,-579,1,0,0,0,Laborers,2
5008858,F,N,Y,1,87700.0,Working,Higher education,Widow,Rented apartment,-10715,-1755,1,0,1,0,Laborers,2
5008859,F,N,N,0,47100.0,Commercial associate,Higher education,Married,House / apartment,-10159,-3224,1,0,0,0,Core staff,2
5008860,M,N,N,0,104800.0,Commercial associate,Higher education,Separated,Municipal apartment,-18911,-7173,1,0,0,1,Medicine staff,1
