ID,MONTHS_BALANCE,STATUS
5008804,0,X
5008804,-1,C
5008804,-2,C
5008805,0,C
5008805,-1,0
5008805,-2,C
5008805,-3,X
5008805,-4,X
5008805,-5,0
5008805,-6,X
5008805,-7,C
5008805,-8,0
5008805,-9,C
5008805,-10,C
5008805,-11,C
5008805,-12,X
5008806,0,C
5008806,-1,C
5008806,-2,X
5008806,-3,X
5008806,-4,C
5008806,-5,0
5008806,-6,X
5008806,-7,C
5008806,-8,C
5008806,-9,X
5008806,-10,C
5008806,-11,0
5008806,-12,X
5008806,-13,C
5008806,-14,C
5008806,-15,X
5008806,-16,C
5008806,-17,C
5008806,-18,0
5008806,-19,X
5008807,0,C
5008807,-1,0
5008807,-2,C
5008807,-3,C
5008807,-4,C
5008807,-5,0
5008807,-6,X
5008807,-7,C
5008807,-8,X
5008807,-9,X
5008807,-10,C
5008807,-11,C
5008807,-12,0
5008807,-13,C
5008807,-14,C
5008808,0,C
5008808,-1,C
5008808,-2,C
5008808,-3,C
5008808,-4,C
5008808,-5,1
5008808,-6,C
5008809,0,C
5008809,-1,C
5008809,-2,X
5008809,-3,X
5008809,-4,C
5008809,-5,X
5008809,-6,X
5008809,-7,0
5008809,-8,X
5008809,-9,C
5008809,-10,X
5008809,-11,C
5008809,-12,C
5008809,-13,X
5008809,-14,C
5008809,-15,C
5008809,-16,C
5008809,-17,X
5008809,-18,0
5008809,-19,0
5008809,-20,C
5008809,-21,C
5008809,-22,C
5008809,-23,X
5008809,-24,C
5008809,-25,C
5008810,0,C
5008810,-1,C
5008810,-2,C
5008810,-3,1
5008811,0,X
5008811,-1,X
5008811,-2,X
5008811,-3,X
5008811,-4,X
5008811,-5,0
5008811,-6,X
5008811,-7,X
5008811,-8,C
5008811,-9,C
5008811,-10,C
5008811,-11,X
5008811,-12,X
5008811,-13,X
5008811,-14,X
5008811,-15,0
5008811,-16,C
5008811,-17,C
5008811,-18,C
5008811,-19,C
5008811,-20,C
5008811,-21,C
5008811,-22,X
5008811,-23,C
5008811,-24,C
5008811,-25,0
5008811,-26,C
5008811,-27,X
5008811,-28,X
5008811,-29,X
5008812,0,C
5008812,-1,C
5008812,-2,X
5008812,-3,X
5008812,-4,X
5008813,0,X
5008813,-1,X
5008813,-2,C
5008813,-3,C
5008813,-4,0
5008813,-5,X
5008813,-6,X
5008813,-7,X
5008813,-8,X
5008813,-9,C
5008813,-10,0
5008813,-11,C
5008813,-12,C
5008813,-13,X
5008813,-14,C
5008813,-15,C
5008813,-16,C
5008813,-17,0
5008813,-18,X
5008813,-19,C
5008813,-20,X
5008813,-21,C
5008813,-22,X
5008813,-23,0
5008813,-24,C
5008813,-25,X
5008814,0,C
5008814,-1,C
5008814,-2,C
5008814,-3,C
5008814,-4,C
5008814,-5,C
5008815,0,C
5008815,-1,X
5008815,-2,C
5008815,-3,X
5008815,-4,C
5008815,-5,C
5008815,-6,X
5008815,-7,C
5008815,-8,C
5008815,-9,C
5008815,-10,C
5008815,-11,X
5008815,-12,X
5008815,-13,C
5008815,-14,C
5008815,-15,C
5008815,-16,C
5008815,-17,C
5008815,-18,C
5008815,-19,C
5008815,-20,C
5008815,-21,X
5008816,0,X
5008816,-1,X
5008816,-2,X
5008816,-3,C
5008816,-4,C
5008816,-5,C
5008816,-6,0
5008816,-7,C
5008816,-8,0
5008816,-9,X
5008816,-10,C
5008817,0,X
5008817,-1,X
5008817,-2,C
5008817,-3,0
5008818,0,C
5008818,-1,C
5008818,-2,C
5008818,-3,C
5008818,-4,X
5008818,-5,C
5008818,-6,C
5008818,-7,0
5008818,-8,X
5008818,-9,C
5008818,-10,C
5008818,-11,C
5008818,-12,C
5008818,-13,0
5008818,-14,2
5008818,-15,C
5008818,-16,C
5008818,-17,3
5008818,-18,X
5008818,-19,C
5008818,-20,C
5008819,0,C
5008819,-1,0
5008819,-2,0
5008819,-3,C
5008819,-4,X
5008819,-5,X
5008819,-6,C
5008819,-7,C
5008819,-8,C
5008819,-9,C
5008819,-10,C
5008819,-11,X
5008819,-12,C
5008819,-13,C
5008819,-14,X
5008819,-15,X
5008819,-16,C
5008819,-17,X
5008819,-18,C
5008819,-19,C
5008819,-20,C
5008820,0,C
5008820,-1,C
5008820,-2,C
5008820,-3,C
5008820,-4,X
5008820,-5,C
5008820,-6,C
5008820,-7,C
5008820,-8,C
5008820,-9,C
5008820,-10,C
5008820,-11,C
5008820,-12,X
5008820,-13,C
5008820,-14,0
5008820,-15,X
5008820,-16,C
5008820,-17,C
5008820,-18,C
5008820,-19,X
5008820,-20,X
5008820,-21,C
5008820,-22,C
5008820,-23,C
5008820,-24,C
5008820,-25,C
5008820,-26,X
5008821,0,X
5008821,-1,C
5008821,-2,X
5008821,-3,X
5008821,-4,C
5008821,-5,0
5008821,-6,C
5008821,-7,C
5008821,-8,X
5008821,-9,C
5008821,-10,C
5008821,-11,X
5008821,-12,X
5008821,-13,C
5008821,-14,X
5008821,-15,C
5008821,-16,C
5008821,-17,X
5008821,-18,C
5008821,-19,X
5008821,-20,X
5008821,-21,X
5008822,0,C
5008822,-1,C
5008822,-2,X
5008822,-3,C
5008822,-4,C
5008822,-5,X
5008822,-6,C
5008822,-7,C
5008822,-8,X
5008822,-9,X
5008822,-10,X
5008822,-11,0
5008822,-12,C
5008822,-13,0
5008822,-14,C
5008822,-15,C
5008822,-16,C
5008822,-17,C
5008822,-18,C
5008822,-19,X
5008822,-20,C
5008822,-21,X
5008822,-22,X
5008822,-23,C
5008823,0,C
5008823,-1,X
5008823,-2,X
5008823,-3,C
5008823,-4,X
5008823,-5,X
5008823,-6,C
5008824,0,C
5008824,-1,X
5008824,-2,1
5008824,-3,C
5008824,-4,C
5008824,-5,X
5008825,0,X
5008825,-1,0
5008825,-2,C
5008825,-3,C
5008825,-4,X
5008825,-5,C
5008825,-6,C
5008825,-7,0
5008825,-8,C
5008825,-9,C
5008825,-10,C
5008825,-11,C
5008825,-12,C
5008825,-13,0
5008825,-14,C
5008825,-15,C
5008825,-16,C
5008825,-17,C
5008825,-18,X
5008825,-19,C
5008825,-20,C
5008825,-21,C
5008825,-22,C
5008825,-23,C
5008825,-24,C
5008825,-25,0
5008825,-26,X
5008825,-27,0
5008826,0,X
5008826,-1,C
5008826,-2,C
5008826,-3,C
5008826,-4,C
5008826,-5,C
5008826,-6,C
5008826,-7,0
5008826,-8,C
5008826,-9,C
5008826,-10,C
5008827,0,C
5008827,-1,X
5008827,-2,X
5008827,-3,X
5008827,-4,X
5008827,-5,X
5008827,-6,X
5008827,-7,C
5008827,-8,C
5008828,0,X
5008828,-1,0
5008828,-2,C
5008828,-3,X
5008828,-4,C
5008828,-5,0
5008828,-6,X
5008828,-7,C
5008828,-8,C
5008828,-9,X
5008828,-10,C
5008828,-11,C
5008828,-12,0
5008828,-13,X
5008828,-14,C
5008828,-15,C
5008828,-16,C
5008828,-17,X
5008828,-18,X
5008828,-19,C
5008828,-20,C
5008828,-21,0
5008828,-22,C
5008829,0,C
5008829,-1,X
5008829,-2,C
5008829,-3,0
5008829,-4,C
5008829,-5,C
5008829,-6,X
5008829,-7,C
5008829,-8,C
5008829,-9,0
5008829,-10,0
5008829,-11,C
5008829,-12,0
5008829,-13,C
5008830,0,C
5008830,-1,C
5008830,-2,X
5008830,-3,X
5008830,-4,X
5008830,-5,X
5008830,-6,C
5008830,-7,C
5008830,-8,C
5008830,-9,C
5008831,0,X
5008831,-1,X
5008831,-2,C
5008831,-3,X
5008831,-4,C
5008831,-5,C
5008831,-6,C
5008831,-7,C
5008831,-8,C
5008831,-9,X
5008832,0,X
5008832,-1,C
5008832,-2,X
5008833,0,C
5008833,-1,X
5008833,-2,C
5008834,0,C
5008834,-1,C
5008834,-2,0
5008834,-3,X
5008834,-4,C
5008834,-5,0
5008834,-6,C
5008834,-7,C
5008834,-8,X
5008834,-9,C
5008834,-10,X
5008834,-11,C
5008834,-12,C
5008834,-13,X
5008834,-14,C
5008834,-15,C
5008834,-16,C
5008834,-17,C
5008835,0,C
5008835,-1,0
5008835,-2,X
5008835,-3,4
5008835,-4,C
5008835,-5,X
5008835,-6,C
5008835,-7,X
5008835,-8,C
5008835,-9,C
5008835,-10,C
5008835,-11,1
5008835,-12,C
5008835,-13,X
5008835,-14,C
5008835,-15,X
5008835,-16,X
5008835,-17,X
5008835,-18,C
5008835,-19,X
5008835,-20,0
5008835,-21,C
5008836,0,X
5008836,-1,C
5008836,-2,X
5008836,-3,C
5008836,-4,C
5008836,-5,0
5008836,-6,C
5008836,-7,X
5008836,-8,C
5008836,-9,X
5008836,-10,C
5008836,-11,C
5008836,-12,C
5008836,-13,X
5008836,-14,C
5008836,-15,C
5008836,-16,X
5008836,-17,C
5008836,-18,X
5008836,-19,C
5008836,-20,0
5008836,-21,X
5008836,-22,0
5008836,-23,C
5008836,-24,X
5008836,-25,C
5008836,-26,C
5008837,0,C
5008837,-1,0
5008837,-2,X
5008837,-3,C
5008837,-4,X
5008837,-5,0
5008837,-6,C
5008837,-7,C
5008837,-8,C
5008837,-9,C
5008837,-10,C
5008837,-11,X
5008837,-12,C
5008837,-13,C
5008837,-14,0
5008837,-15,X
5008837,-16,C
5008837,-17,0
5008837,-18,C
5008837,-19,C
5008837,-20,C
5008837,-21,0
5008837,-22,0
5008837,-23,C
5008837,-24,C
5008837,-25,X
5008837,-26,X
5008838,0,X
5008838,-1,X
5008838,-2,C
5008838,-3,X
5008838,-4,C
5008838,-5,X
5008838,-6,C
5008838,-7,X
5008838,-8,0
5008838,-9,C
5008838,-10,C
5008838,-11,X
5008838,-12,C
5008838,-13,X
5008838,-14,X
5008838,-15,C
5008838,-16,C
5008838,-17,X
5008838,-18,C
5008838,-19,X
5008838,-20,C
5008838,-21,0
5008838,-22,X
5008838,-23,X
5008838,-24,C
5008839,0,C
5008839,-1,X
5008839,-2,C
5008839,-3,C
5008839,-4,C
5008839,-5,X
5008839,-6,C
5008839,-7,C
5008839,-8,C
5008839,-9,0
5008839,-10,C
5008839,-11,C
5008839,-12,C
5008839,-13,X
5008839,-14,X
5008839,-15,X
5008839,-16,C
5008839,-17,C
5008839,-18,X
5008839,-19,0
5008839,-20,C
5008839,-21,C
5008839,-22,C
5008839,-23,X
5008839,-24,X
5008839,-25,X
5008839,-26,X
5008839,-27,X
5008839,-28,X
5008839,-29,C
5008840,0,C
5008840,-1,C
5008840,-2,C
5008840,-3,0
5008840,-4,X
5008840,-5,C
5008840,-6,C
5008840,-7,C
5008840,-8,C
5008840,-9,C
5008840,-10,X
5008840,-11,X
5008840,-12,C
5008841,0,X
5008841,-1,C
5008841,-2,C
5008841,-3,X
5008841,-4,C
5008841,-5,C
5008841,-6,C
5008841,-7,X
5008841,-8,X
5008841,-9,C
5008841,-10,C
5008841,-11,C
5008841,-12,X
5008841,-13,C
5008841,-14,C
5008841,-15,C
5008841,-16,X
5008841,-17,C
5008841,-18,X
5008841,-19,X
5008841,-20,C
5008841,-21,X
5008841,-22,C
5008841,-23,C
5008841,-24,C
5008841,-25,C
5008841,-26,C
5008841,-27,C
5008841,-28,C
5008841,-29,C
5008842,0,1
5008842,-1,C
5008842,-2,C
5008842,-3,X
5008842,-4,X
5008842,-5,4
5008842,-6,C
5008842,-7,C
5008842,-8,C
5008842,-9,X
5008842,-10,X
5008842,-11,C
5008842,-12,0
5008842,-13,X
5008842,-14,C
5008843,0,C
5008843,-1,C
5008843,-2,X
5008843,-3,X
5008843,-4,C
5008843,-5,X
5008843,-6,X
5008843,-7,0
5008843,-8,X
5008843,-9,C
5008843,-10,C
5008843,-11,X
5008843,-12,0
5008843,-13,C
5008843,-14,0
5008843,-15,C
5008843,-16,X
5008843,-17,C
5008843,-18,C
5008844,0,C
5008844,-1,0
5008844,-2,C
5008844,-3,C
5008844,-4,3
5008844,-5,C
5008844,-6,0
5008844,-7,X
5008844,-8,X
5008844,-9,0
5008844,-10,0
5008844,-11,X
5008844,-12,0
5008844,-13,C
5008844,-14,X
5008844,-15,X
5008844,-16,1
5008844,-17,X
5008844,-18,X
5008844,-19,X
5008844,-20,C
5008844,-21,X
5008845,0,C
5008845,-1,C
5008845,-2,C
5008845,-3,0
5008845,-4,0
5008845,-5,C
5008845,-6,C
5008845,-7,C
5008845,-8,0
5008846,0,C
5008846,-1,C
5008846,-2,C
5008846,-3,C
5008846,-4,C
5008846,-5,X
5008846,-6,C
5008846,-7,X
5008846,-8,C
5008846,-9,C
5008846,-10,C
5008846,-11,C
5008846,-12,X
5008846,-13,X
5008846,-14,X
5008846,-15,X
5008847,0,C
5008847,-1,C
5008847,-2,C
5008847,-3,C
5008847,-4,C
5008847,-5,X
5008847,-6,X
5008847,-7,C
5008847,-8,C
5008847,-9,C
5008847,-10,C
5008847,-11,X
5008847,-12,0
5008847,-13,C
5008847,-14,C
5008847,-15,C
5008847,-16,C
5008847,-17,C
5008847,-18,C
5008847,-19,X
5008847,-20,C
5008848,0,C
5008848,-1,0
5008848,-2,X
5008848,-3,C
5008848,-4,C
5008848,-5,3
5008848,-6,C
5008849,0,C
5008849,-1,C
5008849,-2,0
5008849,-3,C
5008850,0,X
5008850,-1,X
5008850,-2,C
5008850,-3,C
5008850,-4,C
5008850,-5,C
5008850,-6,0
5008850,-7,C
5008850,-8,C
5008850,-9,X
5008850,-10,X
5008850,-11,C
5008850,-12,C
5008850,-13,0
5008850,-14,0
5008850,-15,C
5008850,-16,C
5008850,-17,C
5008850,-18,X
5008850,-19,C
5008850,-20,X
5008850,-21,C
5008850,-22,0
5008850,-23,C
5008850,-24,0
5008850,-25,C
5008850,-26,X
5008850,-27,C
5008850,-28,X
5008850,-29,C
5008851,0,0
5008851,-1,C
5008851,-2,C
5008851,-3,0
5008851,-4,X
5008851,-5,C
5008851,-6,C
5008851,-7,4
5008851,-8,C
5008851,-9,1
5008852,0,X
5008852,-1,X
5008852,-2,X
5008852,-3,X
5008852,-4,C
5008852,-5,C
5008852,-6,C
5008852,-7,C
5008852,-8,C
5008852,-9,0
5008853,0,C
5008853,-1,C
5008853,-2,X
5008853,-3,C
5008853,-4,C
5008853,-5,X
5008853,-6,X
5008854,0,X
5008854,-1,X
5008854,-2,C
5008854,-3,C
5008854,-4,X
5008854,-5,X
5008854,-6,X
5008854,-7,0
5008854,-8,C
5008854,-9,X
5008854,-10,C
5008854,-11,0
5008854,-12,C
5008854,-13,X
5008854,-14,X
5008854,-15,C
5008854,-16,X
5008854,-17,X
5008854,-18,X
5008854,-19,C
5008854,-20,X
5008855,0,C
5008855,-1,0
5008855,-2,C
5008855,-3,X
5008855,-4,X
5008855,-5,X
5008855,-6,X
5008855,-7,C
5008855,-8,C
5008855,-9,X
5008855,-10,X
5008855,-11,X
5008855,-12,X
5008855,-13,X
5008855,-14,X
5008855,-15,C
5008855,-16,C
5008855,-17,C
5008856,0,X
5008856,-1,C
5008856,-2,C
5008856,-3,C
5008856,-4,C
5008856,-5,C
5008856,-6,C
5008856,-7,C
5008856,-8,C
5008856,-9,X
5008856,-10,C
5008856,-11,X
5008856,-12,X
5008856,-13,0
5008856,-14,C
5008856,-15,C
5008856,-16,C
5008856,-17,C
5008857,0,C
5008857,-1,C
5008857,-2,C
5008857,-3,C
5008858,0,0
5008858,-1,C
5008858,-2,C
5008858,-3,C
5008858,-4,X
5008858,-5,C
5008858,-6,0
5008858,-7,C
5008858,-8,C
5008858,-9,X
5008858,-10,C
